File,Column,Min Value,Max Value,Max Length,Null Values,Notes
curr_httppostmt.csv,unit_id,386,90021129,,0,
curr_httppostmt.csv,dtime,,,19,0,
curr_httppostmt.csv,target,,,48,0,
curr_httppostmt.csv,address,,,15,0,
curr_httppostmt.csv,fetch_time,0,13071461,,0,
curr_httppostmt.csv,bytes_total,0,1191124800,,0,
curr_httppostmt.csv,bytes_sec,0,125220794,,0,
curr_httppostmt.csv,bytes_sec_interval,0,125220794,,0,
curr_httppostmt.csv,warmup_time,-2129616921,2140849142,,0,
curr_httppostmt.csv,warmup_bytes,0,598577928,,0,
curr_httppostmt.csv,sequence,0,0,,0,
curr_httppostmt.csv,threads,3,8,,0,
curr_httppostmt.csv,successes,0,1,,0,
curr_httppostmt.csv,failures,0,1,,0,
curr_httpgetmt.csv,unit_id,386,90021129,,0,
curr_httpgetmt.csv,dtime,,,19,0,
curr_httpgetmt.csv,target,,,48,0,
curr_httpgetmt.csv,address,,,15,0,
curr_httpgetmt.csv,fetch_time,0,22102138,,0,
curr_httpgetmt.csv,bytes_total,0,1187254296,,0,
curr_httpgetmt.csv,bytes_sec,0,118609690,,0,
curr_httpgetmt.csv,bytes_sec_interval,0,118609690,,0,
curr_httpgetmt.csv,warmup_time,-2140625932,2120134729,,0,
curr_httpgetmt.csv,warmup_bytes,0,654694376,,0,
curr_httpgetmt.csv,sequence,0,0,,0,
curr_httpgetmt.csv,threads,8,8,,0,
curr_httpgetmt.csv,successes,0,1,,0,
curr_httpgetmt.csv,failures,0,1,,0,
curr_udpjitter.csv,unit_id,386,90021129,,0,
curr_udpjitter.csv,dtime,,,19,0,
curr_udpjitter.csv,target,,,33,0,
curr_udpjitter.csv,packet_size,160,160,,0,
curr_udpjitter.csv,stream_rate,0,64000,,0,
curr_udpjitter.csv,duration,0,20836769,,0,
curr_udpjitter.csv,packets_up_sent,0,500,,0,
curr_udpjitter.csv,packets_down_sent,0,500,,0,
curr_udpjitter.csv,packets_up_recv,0,800,,0,
curr_udpjitter.csv,packets_down_recv,0,500,,0,
curr_udpjitter.csv,jitter_up,-2147483648,8515183,,0,
curr_udpjitter.csv,jitter_down,-429924,2841873,,0,
curr_udpjitter.csv,latency,-2147483648,14445613,,0,
curr_udpjitter.csv,successes,0,1,,0,
curr_udpjitter.csv,failures,0,1,,0,
curr_ulping.csv,unit_id,386,90021129,,0,
curr_ulping.csv,dtime,,,19,0,
curr_ulping.csv,target,,,48,0,
curr_ulping.csv,rtt_avg,0,2999684,,0,
curr_ulping.csv,rtt_min,0,2999684,,0,
curr_ulping.csv,rtt_max,0,2999999,,0,
curr_ulping.csv,rtt_std,0,1555467,,0,
curr_ulping.csv,successes,0,852479,,0,
curr_ulping.csv,failures,0,217867,,0,
curr_udplatency.csv,unit_id,386,90021129,,0,
curr_udplatency.csv,dtime,,,19,0,
curr_udplatency.csv,target,,,48,0,
curr_udplatency.csv,rtt_avg,0,2902489,,0,
curr_udplatency.csv,rtt_min,0,2830730,,0,
curr_udplatency.csv,rtt_max,0,2999999,,0,
curr_udplatency.csv,rtt_std,0,1762910,,0,
curr_udplatency.csv,successes,0,4440,,0,
curr_udplatency.csv,failures,0,2400,,0,
curr_webget.csv,unit_id,386,90021129,,0,
curr_webget.csv,dtime,,,19,0,
curr_webget.csv,target,,,31,0,
curr_webget.csv,address,,,,994963,Non-numeric/non-string column
curr_webget.csv,fetch_time,-1537904,89398161,,0,
curr_webget.csv,bytes_total,0,10073430,,0,
curr_webget.csv,bytes_sec,-6008331,4795570,,0,
curr_webget.csv,objects,0,180,,0,
curr_webget.csv,threads,8,8,,0,
curr_webget.csv,requests,0,180,,0,
curr_webget.csv,connections,0,38,,0,
curr_webget.csv,reused_connections,0,145,,0,
curr_webget.csv,lookups,0,11,,0,
curr_webget.csv,request_total_time,0,1211896799,,0,
curr_webget.csv,request_min_time,0,29996040,,0,
curr_webget.csv,request_avg_time,0,2147483647,,0,
curr_webget.csv,request_max_time,0,32712916,,0,
curr_webget.csv,ttfb_total,0,219986762,,0,
curr_webget.csv,ttfb_min,0,29863516,,0,
curr_webget.csv,ttfb_avg,0,2147483647,,0,
curr_webget.csv,ttfb_max,0,29863516,,0,
curr_webget.csv,lookup_total_time,-1852555,105819455,,0,
curr_webget.csv,lookup_min_time,-1933783,50091763,,0,
curr_webget.csv,lookup_avg_time,-1419596,50091763,,0,
curr_webget.csv,lookup_max_time,-1419596,61946295,,0,
curr_webget.csv,successes,0,1,,0,
curr_webget.csv,failures,0,1,,0,
curr_dns.csv,unit_id,386,90021129,,0,
curr_dns.csv,dtime,,,19,0,
curr_dns.csv,nameserver,,,39,0,
curr_dns.csv,lookup_host,,,17,0,
curr_dns.csv,response_ip,,,36,578827,
curr_dns.csv,rtt,0,20569208,,0,
curr_dns.csv,successes,0,1,,0,
curr_dns.csv,failures,0,1,,0,
curr_datausage.csv,unit_id,386,90021129,,0,
curr_datausage.csv,dtime,,,19,0,
curr_datausage.csv,sk_tx_bytes,0,12885317875,,0,
curr_datausage.csv,sk_rx_bytes,0,24803996451,,0,
curr_datausage.csv,cust_wired_tx_bytes,0,2182029230860946086,,0,
curr_datausage.csv,cust_wired_rx_bytes,0,364022623364,,0,
curr_datausage.csv,cust_wifi_tx_bytes,0,35358497225,,0,
curr_datausage.csv,cust_wifi_rx_bytes,0,121392794385,,0,
curr_httpgetmt6.csv,unit_id,,,,0,
curr_httpgetmt6.csv,dtime,,,,0,
curr_httpgetmt6.csv,target,,,,0,
curr_httpgetmt6.csv,address,,,,0,
curr_httpgetmt6.csv,fetch_time,,,,0,
curr_httpgetmt6.csv,bytes_total,,,,0,
curr_httpgetmt6.csv,bytes_sec,,,,0,
curr_httpgetmt6.csv,bytes_sec_interval,,,,0,
curr_httpgetmt6.csv,warmup_time,,,,0,
curr_httpgetmt6.csv,warmup_bytes,,,,0,
curr_httpgetmt6.csv,sequence,,,,0,
curr_httpgetmt6.csv,threads,,,,0,
curr_httpgetmt6.csv,successes,,,,0,
curr_httpgetmt6.csv,failures,,,,0,
curr_udplatency6.csv,unit_id,213582,55187217,,0,
curr_udplatency6.csv,dtime,,,19,0,
curr_udplatency6.csv,target,,,47,0,
curr_udplatency6.csv,rtt_avg,0,1207621,,0,
curr_udplatency6.csv,rtt_min,0,828755,,0,
curr_udplatency6.csv,rtt_max,0,2985864,,0,
curr_udplatency6.csv,rtt_std,0,592876,,0,
curr_udplatency6.csv,successes,0,2370,,0,
curr_udplatency6.csv,failures,0,2373,,0,
curr_ping.csv,unit_id,386,90021129,,0,
curr_ping.csv,dtime,,,19,0,
curr_ping.csv,target,,,48,0,
curr_ping.csv,rtt_avg,0,9949752,,0,
curr_ping.csv,rtt_min,0,9918606,,0,
curr_ping.csv,rtt_max,0,10036534,,0,
curr_ping.csv,rtt_std,0,7023982,,0,
curr_ping.csv,successes,0,5,,0,
curr_ping.csv,failures,0,5,,0,
curr_udpcloss.csv,unit_id,386,90021129,,0,
curr_udpcloss.csv,dtime,,,19,0,
curr_udpcloss.csv,duration,5,5184419930,,0,
curr_udpcloss.csv,target,,,48,0,
curr_udpcloss.csv,address,,,34,0,
curr_udpcloss.csv,packets,-2,825233,,0,
curr_dlping.csv,unit_id,386,90021129,,0,
curr_dlping.csv,dtime,,,19,0,
curr_dlping.csv,target,,,48,0,
curr_dlping.csv,rtt_avg,0,2899709,,0,
curr_dlping.csv,rtt_min,0,2771961,,0,
curr_dlping.csv,rtt_max,0,2999974,,0,
curr_dlping.csv,rtt_std,0,1668147,,0,
curr_dlping.csv,successes,0,219814,,0,
curr_dlping.csv,failures,0,215649,,0,
curr_lct_ul.csv,unit_id,386,90021129,,0,
curr_lct_ul.csv,ddate,,,10,0,
curr_lct_ul.csv,dtime,,,19,0,
curr_lct_ul.csv,target,,,33,0,
curr_lct_ul.csv,address,,,15,0,
curr_lct_ul.csv,packets_received,0,100,,0,
curr_lct_ul.csv,packets_sent,0,100,,0,
curr_lct_ul.csv,packet_size,1400,1400,,0,
curr_lct_ul.csv,bytes_total,0,140000,,0,
curr_lct_ul.csv,duration,0,4815919,,0,
curr_lct_ul.csv,bytes_sec,0,742857143,,0,
curr_lct_ul.csv,error_code,,,20,0,
curr_lct_ul.csv,successes,0,1,,0,
curr_lct_ul.csv,failures,0,1,,0,
curr_traceroute.csv,unit_id,386,90021129,,0,
curr_traceroute.csv,dtime,,,19,0,
curr_traceroute.csv,target,,,48,0,
curr_traceroute.csv,address,,,15,0,
curr_traceroute.csv,protocol,,,4,0,
curr_traceroute.csv,hop,1,60,,0,
curr_traceroute.csv,hop_address,,,,8978993,Non-numeric/non-string column
curr_traceroute.csv,hop_name,,,,8978993,Non-numeric/non-string column
curr_traceroute.csv,sent,1,3,,0,
curr_traceroute.csv,received,0,3,,0,
curr_traceroute.csv,rtt_avg,-19621,9471728,,0,
curr_traceroute.csv,successes,0,1,,0,
curr_traceroute.csv,failures,0,1,,0,
curr_lct_dl.csv,unit_id,386,90021129,,0,
curr_lct_dl.csv,ddate,,,10,0,
curr_lct_dl.csv,dtime,,,19,0,
curr_lct_dl.csv,target,,,33,0,
curr_lct_dl.csv,address,,,15,0,
curr_lct_dl.csv,packets_received,0,100,,0,
curr_lct_dl.csv,packets_sent,0,100,,0,
curr_lct_dl.csv,packet_size,1400,1400,,0,
curr_lct_dl.csv,bytes_total,0,140000,,0,
curr_lct_dl.csv,duration,0,3007790,,0,
curr_lct_dl.csv,bytes_sec,0,319685024,,0,
curr_lct_dl.csv,error_code,,,16,0,
curr_lct_dl.csv,successes,0,1,,0,
curr_lct_dl.csv,failures,0,1,,0,
curr_httppostmt6.csv,unit_id,620750,620750,,0,
curr_httppostmt6.csv,dtime,,,19,0,
curr_httppostmt6.csv,target,,,14,0,
curr_httppostmt6.csv,address,,,34,0,
curr_httppostmt6.csv,fetch_time,0,10000102,,0,
curr_httppostmt6.csv,bytes_total,0,4269720,,0,
curr_httppostmt6.csv,bytes_sec,0,426968,,0,
curr_httppostmt6.csv,bytes_sec_interval,0,426968,,0,
curr_httppostmt6.csv,warmup_time,5000029,5000470,,0,
curr_httppostmt6.csv,warmup_bytes,11050,974310,,0,
curr_httppostmt6.csv,sequence,0,0,,0,
curr_httppostmt6.csv,threads,3,3,,0,
curr_httppostmt6.csv,successes,0,1,,0,
curr_httppostmt6.csv,failures,0,1,,0,
curr_httpget.csv,unit_id,,,,0,
curr_httpget.csv,dtime,,,,0,
curr_httpget.csv,target,,,,0,
curr_httpget.csv,address,,,,0,
curr_httpget.csv,fetch_time,,,,0,
curr_httpget.csv,bytes_total,,,,0,
curr_httpget.csv,bytes_sec,,,,0,
curr_httpget.csv,bytes_sec_interval,,,,0,
curr_httpget.csv,warmup_time,,,,0,
curr_httpget.csv,warmup_bytes,,,,0,
curr_httpget.csv,sequence,,,,0,
curr_httpget.csv,threads,,,,0,
curr_httpget.csv,successes,,,,0,
curr_httpget.csv,failures,,,,0,
curr_httppost.csv,unit_id,,,,0,
curr_httppost.csv,dtime,,,,0,
curr_httppost.csv,target,,,,0,
curr_httppost.csv,address,,,,0,
curr_httppost.csv,fetch_time,,,,0,
curr_httppost.csv,bytes_total,,,,0,
curr_httppost.csv,bytes_sec,,,,0,
curr_httppost.csv,bytes_sec_interval,,,,0,
curr_httppost.csv,warmup_time,,,,0,
curr_httppost.csv,warmup_bytes,,,,0,
curr_httppost.csv,sequence,,,,0,
curr_httppost.csv,threads,,,,0,
curr_httppost.csv,successes,,,,0,
curr_httppost.csv,failures,,,,0,
